id_bruvoll_2023;id_source;house_size;site_name;region;arch_culture;data_source;site_name_ill;neighbourhood_logic;mean_orien;site_name_ill_short;Settlement
134;134;119,5724294;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;23,62763455;Čifare;Cifare
135;135;85,61469389;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;14,39075482;Čifare;Cifare
136;136;129,5296328;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;10,66259326;Čifare;Cifare
137;137;157,5841154;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;12,45824188;Čifare;Cifare
138;138;164,5462111;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;7,766954202;Čifare;Cifare
139;139;241,9072766;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;11,92372335;Čifare;Cifare
140;140;104,0977252;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;17,63531876;Čifare;Cifare
141;141;78,25865295;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;26,84363535;Čifare;Cifare
142;142;117,6155261;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;18,50216476;Čifare;Cifare
143;143;97,92997492;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;20,1634829;Čifare;Cifare
144;144;55,08031422;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;12,77958286;Čifare;Cifare
145;145;70,6547407;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;13,05221901;Čifare;Cifare
146;146;144,8773848;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;12,49229094;Čifare;Cifare
147;147;84,86765993;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;15,24613164;Čifare;Cifare
148;148;90,29018624;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;26,24654471;Čifare;Cifare
149;149;58,8738045;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;10,66048351;Čifare;Cifare
150;150;76,42821038;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;11,89471698;Čifare;Cifare
151;151;158,4736974;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;3,513322972;Čifare;Cifare
152;152;79,64137749;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;8,873253455;Čifare;Cifare
153;153;46,1998496;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;23,06065319;Čifare;Cifare
154;154;70,16937953;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;23,0355957;Čifare;Cifare
155;155;37,10718853;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;23,12513032;Čifare;Cifare
156;156;88,5752569;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;7,545966224;Čifare;Cifare
157;157;130,0768254;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;19,89787176;Čifare;Cifare
158;158;112,9046954;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;14,64888172;Čifare;Cifare
159;159;59,39478733;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;9,321915219;Čifare;Cifare
549;557;83,21035567;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;12,2521606;Čifare;Cifare
550;558;159,5368984;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;11,38471388;Čifare;Cifare
551;559;104,6289834;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;19,78144908;Čifare;Cifare
646;1;121;hambach_21;rheinland;lbk;schiesberg_2007;Hambach 21;FALSE;;Hambach 21;Hambach 21
647;3;194;hambach_21;rheinland;lbk;schiesberg_2007;Hambach 21;FALSE;;Hambach 22;Hambach 22
